ingredient_unit_id,description,description_pl
-1,'Unknown','Unknown'
0,'',''
1,'tsp','tsps'
2,'tbsp','tbsps'
3,'oz','oz'
4,'lb','lbs'
5,'cup','cups'
6,'pint','pints'
7,'quart','quarts'
8,'gallon','gallons'
9,'can','cans'
10,'pinch','pinches'
11,'liter','liters'
12,'small','small'
13,'medium','medium'
14,'large','large'
15,'rib','ribs'
16,'clove','cloves'
17,'package','packages'
18,'stalk','stalks'
19,'jar','jars'
20,'bottle','bottles'
21,'recipe','recipes'
22,'loaf','loaves'
23,'container','containers'
24,'envelope','envelopes'
25,'bag','bags'
